time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
49.2,"(-0.14, -9.120000000000001, -324.2)","(6.5, 23.5, -18.375)","(-0.001090830782496456, 0.003272492347489368, 0.002181661564992912)","(-0.13, 0.05, 0.0)","(-0.12, -9.14, 3.52)","(359.3125, -0.6875, 68.875)","(0.82452392578125, -0.56585693359375, 0.0045166015625, 0.0048828125)"
50.2,"(-0.14, -9.13, 3.52)","(7.1875, 24.5625, -18.0625)","(0.001090830782496456, 0.003272492347489368, 0.0)","(0.0, 0.02, 0.03)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, 68.875)","(0.82464599609375, -0.565673828125, 0.00445556640625, 0.00482177734375)"
51.2,"(-0.09, -9.13, 3.54)","(6.75, 23.5, -20.375)","(-0.001090830782496456, -0.003272492347489368, -0.002181661564992912)","(0.02, 0.04, -0.03)","(-0.12, -9.14, -324.15000000000003)","(359.3125, -0.6875, 68.875)","(0.82464599609375, -0.565673828125, 0.00445556640625, 0.00482177734375)"
52.2,"(-0.11, -9.11, 3.54)","(7.5625, 23.875, -19.1875)","(0.004363323129985824, 0.0, 0.001090830782496456)","(0.02, 0.04, -0.01)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, 68.875)","(0.82464599609375, -0.565673828125, 0.00445556640625, 0.00482177734375)"
53.2,"(-0.16, -9.06, 3.62)","(6.75, 24.5625, -18.75)","(0.0, 0.0, 0.001090830782496456)","(-0.01, -0.01, -0.02)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, 68.8125)","(0.8248291015625, -0.56536865234375, 0.00445556640625, 0.00482177734375)"
54.2,"(-0.08, -9.09, 3.5500000000000003)","(7.5625, 23.5, -18.0625)","(-0.002181661564992912, -0.001090830782496456, 0.001090830782496456)","(-0.01, 0.01, 0.0)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, 68.8125)","(0.8248291015625, -0.56536865234375, 0.00445556640625, 0.00482177734375)"
55.16,"(-0.11, -9.13, 3.52)","(7.5625, 23.5, -18.75)","(0.001090830782496456, -0.001090830782496456, 0.002181661564992912)","(0.04, -0.01, 0.04)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, -1971.1875)","(0.8248291015625, -0.56536865234375, -1.98773193359375, 0.00482177734375)"
56.15,"(-0.14, -7.82, 4.87)","(-2040.125, -2024.5, -27.1875)","(-0.004363323129985824, 0.0, 0.001090830782496456)","(0.02, 0.02, 0.05)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, 68.8125)","(0.8248291015625, -0.56536865234375, 0.00445556640625, 0.00482177734375)"
57.15,"(-0.09, -7.79, 4.75)","(-2040.125, -2024.125, 2019.625)","(0.002181661564992912, 0.002181661564992912, 0.001090830782496456)","(-0.08, 0.06, 0.03)","(-0.12, -9.14, 3.5300000000000002)","(-1688.6875, -0.6875, 68.875)","(0.82470703125, -0.5655517578125, 0.00445556640625, 0.00482177734375)"
58.2,"(-0.1, -9.13, 3.62)","(7.1875, 23.5, -18.75)","(-0.003272492347489368, -0.003272492347489368, -0.002181661564992912)","(1.33, 0.0, 0.06)","(-0.12, -9.14, 3.5300000000000002)","(359.3125, -0.6875, 68.8125)","(0.8248291015625, -0.56536865234375, 0.00445556640625, 0.00482177734375)"
59.2,"(-0.09, -9.68, 3.5300000000000002)","(7.1875, 22.75, -18.375)","(0.022907446432425576, 0.02181661564992912, 0.02399827721492203)","(0.25, -0.36, 0.65)","(-0.11, -9.120000000000001, 3.58)","(359.3125, -0.75, 68.4375)","(0.8265380859375, -0.5628662109375, 0.00457763671875, 0.00457763671875)"
